Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Number (PACE),Support Category Name,Support Category Name (PACE),Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,"$1,053.45",N,N,N,N,N,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,"$1,053.45",N,N,N,N,N,Price Limited Supports
01_049_0115_1_1,Cross Billing Payments For Residential Aged Care Subsidies And Supplements,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,21,Assistance with Daily Life (Includes SIL),YPIRAC - Cross Billing,WK,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_051_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Saturday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,$860.39,$860.39,$860.39,$860.39,$860.39,$860.39,$860.39,$860.39,"$1,204.55","$1,290.59",N,N,Y,N,N,Price Limited Supports
01_052_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Sunday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,046.03","$1,046.03","$1,046.03","$1,046.03","$1,046.03","$1,046.03","$1,046.03","$1,046.03","$1,464.44","$1,569.05",N,N,Y,N,N,Price Limited Supports
01_053_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Public Holiday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,231.67","$1,231.67","$1,231.67","$1,231.67","$1,231.67","$1,231.67","$1,231.67","$1,231.67","$1,724.34","$1,847.51",N,N,Y,N,N,Price Limited Supports
01_054_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Weekday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,198.69","$1,198.69","$1,198.69","$1,198.69","$1,198.69","$1,198.69","$1,198.69","$1,198.69","$1,678.17","$1,798.04",N,N,Y,N,N,Price Limited Supports
01_055_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Saturday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,501.97","$1,501.97","$1,501.97","$1,501.97","$1,501.97","$1,501.97","$1,501.97","$1,501.97","$2,102.76","$2,252.96",N,N,Y,N,N,Price Limited Supports
01_056_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Sunday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,873.25","$1,873.25","$1,873.25","$1,873.25","$1,873.25","$1,873.25","$1,873.25","$1,873.25","$2,622.55","$2,809.88",N,N,Y,N,N,Price Limited Supports
01_057_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Public Holiday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$2,244.53","$2,244.53","$2,244.53","$2,244.53","$2,244.53","$2,244.53","$2,244.53","$2,244.53","$3,142.34","$3,366.80",N,N,Y,N,N,Price Limited Supports
01_058_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Weekday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$2,178.57","$2,178.57","$2,178.57","$2,178.57","$2,178.57","$2,178.57","$2,178.57","$2,178.57","$3,050.00","$3,267.68",N,N,Y,N,N,Price Limited Supports
01_059_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Saturday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$2,785.13","$2,785.13","$2,785.13","$2,785.13","$2,785.13","$2,785.13","$2,785.13","$2,785.13","$3,899.18","$4,177.70",N,N,Y,N,N,Price Limited Supports
01_060_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Sunday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$3,527.69","$3,527.69","$3,527.69","$3,527.69","$3,527.69","$3,527.69","$3,527.69","$3,527.69","$4,938.77","$5,291.54",N,N,Y,N,N,Price Limited Supports
01_061_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Public Holiday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$4,270.25","$4,270.25","$4,270.25","$4,270.25","$4,270.25","$4,270.25","$4,270.25","$4,270.25","$5,978.35","$6,405.38",N,N,Y,N,N,Price Limited Supports
01_062_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Weekday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,$872.06,$872.06,$872.06,$872.06,$872.06,$872.06,$872.06,$872.06,"$1,220.88","$1,308.09",N,N,Y,N,N,Price Limited Supports
01_063_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Saturday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,074.25","$1,074.25","$1,074.25","$1,074.25","$1,074.25","$1,074.25","$1,074.25","$1,074.25","$1,503.95","$1,611.38",N,N,Y,N,N,Price Limited Supports
01_064_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Sunday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,321.77","$1,321.77","$1,321.77","$1,321.77","$1,321.77","$1,321.77","$1,321.77","$1,321.77","$1,850.48","$1,982.66",N,N,Y,N,N,Price Limited Supports
01_065_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Public Holiday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20240701,99991231,"$1,569.29","$1,569.29","$1,569.29","$1,569.29","$1,569.29","$1,569.29","$1,569.29","$1,569.29","$2,197.01","$2,353.94",N,N,Y,N,N,Price Limited Supports
01_066_0115_1_1,Unplanned onsite shared supports in Specialist Disability Accommodation,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,WK,No,20240701,99991231,"$1,542.71","$1,542.71","$1,542.71","$1,542.71","$1,542.71","$1,542.71","$1,542.71","$1,542.71","$2,159.79","$2,314.07",N,N,N,N,N,Price Limited Supports
01_082_0115_1_1,Medium Term Accommodation,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,D,No,20240701,99991231,$155.68,$155.68,$155.68,$155.68,$155.68,$155.68,$155.68,$155.68,$217.95,$233.52,N,N,Y,N,N,Price Limited Supports
01_134_0117_8_1,Capacity Building and Training in Self-Management and Plan Management,117,Development Of Daily Living And Life Skills,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$80.06,$80.06,$80.06,$80.06,$80.06,$80.06,$80.06,$80.06,$112.08,$120.09,Y,Y,Y,N,N,Price Limited Supports
01_200_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Daytime,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$98.32,$105.35,N,N,Y,N,N,Price Limited Supports
01_201_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Evening,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$77.38,$74.44,$74.44,$74.44,$74.44,$74.44,$74.44,$74.44,$104.22,$111.66,N,N,Y,N,N,Price Limited Supports
01_202_0115_1_1,Assistance With Self-Care Activities in a STA - Saturday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$138.36,$148.25,N,N,Y,N,N,Price Limited Supports
01_203_0115_1_1,Assistance With Self-Care Activities in a STA - Sunday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$178.40,$191.15,N,N,Y,N,N,Price Limited Supports
01_204_0115_1_1,Assistance With Self-Care Activities in a STA - Public Holiday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$218.44,$234.05,N,N,Y,N,N,Price Limited Supports
01_205_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Night,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$110.33,$118.22,N,N,Y,N,N,Price Limited Supports
01_400_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Daytime,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$106.37,$113.97,Y,Y,Y,N,N,Price Limited Supports
01_401_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Evening,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$117.21,$125.58,Y,Y,Y,N,N,Price Limited Supports
01_402_0104_1_1,Assistance With Self-Care Activities - High Intensity - Saturday,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$149.70,$160.40,Y,Y,Y,N,N,Price Limited Supports
01_403_0104_1_1,Assistance With Self-Care Activities - High Intensity - Sunday,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$193.02,$206.81,Y,Y,Y,N,N,Price Limited Supports
01_404_0104_1_1,Assistance With Self-Care Activities - High Intensity - Public Holiday,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$236.33,$253.22,Y,Y,Y,N,N,Price Limited Supports
01_405_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Night,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$85.27,$85.27,$85.27,$85.27,$85.27,$85.27,$85.27,$85.27,$119.38,$127.91,Y,Y,Y,N,N,Price Limited Supports
01_600_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Daytime,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$99.88,$99.88,$99.88,$99.88,$99.88,$99.88,$99.88,$99.88,$139.83,$149.82,Y,Y,Y,Y,N,Price Limited Supports
01_601_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Evening,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$110.18,$110.18,$110.18,$110.18,$110.18,$110.18,$110.18,$110.18,$154.25,$165.27,Y,Y,Y,Y,N,Price Limited Supports
01_602_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Saturday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$142.48,$142.48,$142.48,$142.48,$142.48,$142.48,$142.48,$142.48,$199.47,$213.72,Y,Y,Y,Y,N,Price Limited Supports
01_603_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Sunday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$158.71,$163.79,$163.79,$163.79,$163.79,$163.79,$163.79,$163.79,$229.31,$245.69,Y,Y,Y,Y,N,Price Limited Supports
01_604_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Public Holiday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$185.08,$185.08,$185.08,$185.08,$185.08,$185.08,$185.08,$185.08,$259.11,$277.62,Y,Y,Y,Y,N,Price Limited Supports
01_605_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Night,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$112.22,$112.22,$112.22,$112.22,$112.22,$112.22,$112.22,$112.22,$157.11,$168.33,Y,Y,Y,Y,N,Price Limited Supports
01_606_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Daytime,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$123.65,$123.65,$123.65,$123.65,$123.65,$123.65,$123.65,$123.65,$173.11,$185.48,Y,Y,Y,Y,N,Price Limited Supports
01_607_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Evening,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$136.41,$136.41,$136.41,$136.41,$136.41,$136.41,$136.41,$136.41,$190.97,$204.62,Y,Y,Y,Y,N,Price Limited Supports
01_608_0114_1_1,Delivery of Health Supports by a Registered Nurse - Saturday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$176.47,$176.47,$176.47,$176.47,$176.47,$176.47,$176.47,$176.47,$247.06,$264.71,Y,Y,Y,Y,N,Price Limited Supports
01_609_0114_1_1,Delivery of Health Supports by a Registered Nurse - Sunday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$229.27,$229.27,$229.27,$229.27,$229.27,$229.27,$229.27,$229.27,$320.98,$343.91,Y,Y,Y,Y,N,Price Limited Supports
01_610_0114_1_1,Delivery of Health Supports by a Registered Nurse - Public Holiday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$229.27,$222.16,$222.16,$222.16,$222.16,$222.16,$222.16,$222.16,$311.02,$333.24,Y,Y,Y,Y,N,Price Limited Supports
01_611_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Night,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$138.95,$138.95,$138.95,$138.95,$138.95,$138.95,$138.95,$138.95,$194.53,$208.43,Y,Y,Y,Y,N,Price Limited Supports
01_612_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Daytime,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$143.04,$143.04,$143.04,$143.04,$143.04,$143.04,$143.04,$143.04,$200.26,$214.56,Y,Y,Y,Y,N,Price Limited Supports
01_613_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Evening,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$157.77,$157.77,$157.77,$157.77,$157.77,$157.77,$157.77,$157.77,$220.88,$236.66,Y,Y,Y,Y,N,Price Limited Supports
01_614_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Saturday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$204.12,$204.12,$204.12,$204.12,$204.12,$204.12,$204.12,$204.12,$285.77,$306.18,Y,Y,Y,Y,N,Price Limited Supports
01_615_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Sunday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$234.67,$234.67,$234.67,$234.67,$234.67,$234.67,$234.67,$234.67,$328.54,$352.01,Y,Y,Y,Y,N,Price Limited Supports
01_616_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Public Holiday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$265.20,$265.20,$265.20,$265.20,$265.20,$265.20,$265.20,$265.20,$371.28,$397.80,Y,Y,Y,Y,N,Price Limited Supports
01_617_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Night,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$160.73,$160.73,$160.73,$160.73,$160.73,$160.73,$160.73,$160.73,$225.02,$241.10,Y,Y,Y,Y,N,Price Limited Supports
01_618_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Daytime,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$169.16,$169.16,$169.16,$169.16,$169.16,$169.16,$169.16,$169.16,$236.82,$253.74,Y,Y,Y,Y,N,Price Limited Supports
01_619_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Evening,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$186.63,$186.63,$186.63,$186.63,$186.63,$186.63,$186.63,$186.63,$261.28,$279.95,Y,Y,Y,Y,N,Price Limited Supports
01_620_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Saturday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$241.52,$241.52,$241.52,$241.52,$241.52,$241.52,$241.52,$241.52,$338.13,$362.28,Y,Y,Y,Y,N,Price Limited Supports
01_621_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Sunday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$277.69,$277.69,$277.69,$277.69,$277.69,$277.69,$277.69,$277.69,$388.77,$416.54,Y,Y,Y,Y,N,Price Limited Supports
01_622_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Public Holiday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$313.86,$313.86,$313.86,$313.86,$313.86,$313.86,$313.86,$313.86,$439.40,$470.79,Y,Y,Y,Y,N,Price Limited Supports
01_623_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Night,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$190.12,$190.12,$190.12,$190.12,$190.12,$190.12,$190.12,$190.12,$266.17,$285.18,Y,Y,Y,Y,N,Price Limited Supports
01_624_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Weekday Daytime,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$176.85,$176.85,$176.85,$176.85,$176.85,$176.85,$176.85,$176.85,$247.59,$265.28,Y,Y,Y,Y,N,Price Limited Supports
